#DR2Name,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,RPlx,pmRA,e_pmRA,pmDE,e_pmDE,NgAL,chi2AL,Nper,Dup,FG,e_FG,Gmag,e_Gmag,FBP,e_FBP,BPmag,e_BPmag,FRP,e_FRP,RPmag,e_RPmag,BP-RP,RV,e_RV,Teff,AG,E(BP-RP),Rad,Lum,RAJ2000,DEJ2000
Gaia DR2 4239437599419697536,294.002651,0.0529,0.089531,0.04,4.2394375994197E+18,25.0875,0.0543,462.1612,-15.45,0.107,-384.428,0.077,146,159.45,11,0,21083000,5156.5,7.3785,3E-04,11039000,17884.0,7.744,0.0018,14015000,30787.0,6.8954,0.0024,0.8486,-13.02,0.2,5692.75,0.185,0.097,1.19,1.33,294.002718,0.091186
Gaia DR2 4275410252622589312,270.575276,0.0381,0.104416,0.04,4.27541025262259E+18,30.5213,0.0463,659.7926,177.922,0.077,52.135,0.071,155,324.92,11,0,19215000,5497.2,7.4793,3E-04,9913800,17011.0,7.8608,0.0019,12987000,18370.0,6.9782,0.0015,0.8826,-80.46,0.17,5552.0,0.059,0.0295,0.98,0.829,270.57451,0.104192
Gaia DR2 4381502851133968128,256.320004,0.055,0.701122,0.0406,4.38150285113397E+18,48.3994,0.0641,755.6119,-17.034,0.125,-334.144,0.082,462,3091.71,13,0,86298000,44319.0,5.8484,6E-04,47412000,59807.0,6.1617,0.0014,54371000,45530.0,5.4235,9E-04,0.7382,-16.84,0.16,6021.0,0.1007,0.0453,1.1,1.438,256.320078,0.70256
Gaia DR2 2510183229442059776,23.70451,0.0581,0.9436,0.0338,2.51018322944206E+18,27.071,0.0692,391.1837,209.889,0.084,-270.867,0.077,154,343.05,9,0,37453000,9955.7,6.7547,3E-04,20740000,56314.0,7.0594,0.0029,23103000,94138.0,6.3528,0.0044,0.7066,-22.47,0.16,6149.0,0.122,0.0663,1.24,1.987,23.703606,0.944766
Gaia DR2 2559181861327324928,21.334071,0.0701,1.460592,0.039,2.55918186132732E+18,25.0373,0.0839,298.2983,68.174,0.104,-61.608,0.081,133,227.84,9,0,24196000,6598.8,7.229,3E-04,12817000,33891.0,7.5819,0.0029,15950000,57602.0,6.755,0.0039,0.8269,1.03,0.21,5765.33,0.3165,0.161,1.24,1.525,21.333778,1.460858
Gaia DR2 4240035046551668736,295.624692,0.0534,1.586264,0.0306,4.24003504655167E+18,25.8333,0.0638,405.0752,159.992,0.099,-60.212,0.055,236,456.25,12,0,19381000,4248.0,7.4699,2E-04,10264000,8787.2,7.8231,9E-04,12748000,14720.0,6.9984,0.0013,0.8247,-61.39,0.14,5755.33,,,1.08,1.148,295.624002,1.586524
Gaia DR2 4375233191015944192,261.435968,0.0215,2.106322,0.021,4.37523319101594E+18,129.6231,0.0286,4527.1836,-580.207,0.054,-1184.726,0.047,285,539.13,12,0,31969000,12253.0,6.9265,4E-04,10756000,16190.0,7.7722,0.0016,30342000,34408.0,6.0568,0.0012,1.7154,,,4077.08,0.681,0.2945,0.69,0.12,261.438468,2.111423
Gaia DR2 3835743693290649728,152.346747,0.0479,2.371054,0.0554,3.83574369329065E+18,27.8187,0.0529,525.6494,-202.943,0.085,-6.783,0.094,102,228.2,8,1,21120000,5941.8,7.3767,3E-04,11206000,25011.0,7.7278,0.0024,13774000,34068.0,6.9143,0.0027,0.8135,-17.43,0.29,5798.0,0.1015,0.0515,1.03,1.076,152.347621,2.371083
Gaia DR2 3811594088617869056,167.416389,0.0572,2.456412,0.0489,3.81159408861787E+18,33.9454,0.0697,486.998,-277.586,0.096,38.448,0.084,106,190.72,9,1,19159000,4917.3,7.4824,3E-04,9621100,24161.0,7.8933,0.0027,13270000,38545.0,6.9547,0.0032,0.9386,10.19,0.23,5434.67,0.087,0.0375,0.93,0.676,167.417585,2.456247
Gaia DR2 4468557611977674496,271.365866,0.2167,2.494347,0.19,4.46855761197767E+18,195.2166,0.1012,1929.9559,334.071,0.383,-1069.285,0.305,100,840.05,7,0,118610000,203350.0,5.5031,0.0019,44503000,121720.0,6.2304,0.003,100820000,441150.0,4.7531,0.0048,1.4774,,,4442.5,0.374,0.1673,0.68,0.162,271.364426,2.498951
Gaia DR2 4423865487962417024,236.007394,0.052,2.514578,0.0396,4.42386548796242E+18,67.7057,0.0659,1026.7432,-42.787,0.118,-136.857,0.104,206,1097.34,12,0,100850000,82954.0,5.6792,9E-04,52332000,100930.0,6.0545,0.0021,66301000,223290.0,5.2081,0.0037,0.8463,19.12,0.15,5698.33,0.0997,0.0427,0.96,0.873,236.007579,2.515167
Gaia DR2 3812355294261019904,171.689687,0.2243,3.007133,0.0987,3.81235529426102E+18,54.9057,0.1734,316.5943,-728.277,0.588,188.526,0.275,77,103.88,7,1,23514000,8902.1,7.26,4E-04,10430000,22517.0,7.8057,0.0023,18028000,48169.0,6.622,0.0029,1.1836,3.51,0.17,4800.5,0.206,0.094,0.86,0.357,171.692827,3.006321
Gaia DR2 4279461609366875520,282.951735,0.0539,3.030417,0.0776,4.27946160936688E+18,36.4313,0.0916,397.7305,-5.857,0.095,-140.211,0.093,121,216.18,8,0,21959000,7255.1,7.3343,4E-04,11384000,20587.0,7.7107,0.002,14697000,51741.0,6.8438,0.0038,0.8669,-17.42,0.21,5674.33,0.025,0.0117,0.84,0.658,282.95176,3.031021
Gaia DR2 4247023886053586304,300.695634,0.0476,3.326699,0.0234,4.24702388605359E+18,78.6238,0.0617,1274.6732,-90.29,0.096,119.506,0.055,264,284.04,12,0,28183000,6807.8,7.0634,3E-04,11533000,13095.0,7.6966,0.0012,23308000,37824.0,6.3431,0.0018,1.3534,-30.47,0.13,4650.0,,,0.72,0.219,300.696023,3.326185
Gaia DR2 581100382135253760,132.301564,0.0513,3.485014,0.0379,5.81100382135254E+17,32.9432,0.0652,505.121,-148.388,0.104,60.034,0.068,271,469.01,12,0,23022000,11314.0,7.283,5E-04,12002000,24305.0,7.6532,0.0022,15394000,21675.0,6.7936,0.0015,0.8597,10.23,0.13,5699.33,0.1192,0.046,0.94,0.842,132.302204,3.484756
Gaia DR2 1157737335472646016,221.568185,0.0479,3.503812,0.0471,1.15773733547265E+18,24.4148,0.0566,431.3119,17.285,0.09,-58.361,0.093,95,272.49,9,0,23914000,10012.0,7.2417,5E-04,13241000,30938.0,7.5466,0.0025,14991000,22812.0,6.8223,0.0017,0.7243,22.79,0.18,6057.67,0.0583,0.0213,1.14,1.564,221.56811,3.504063
Gaia DR2 2695668504585758592,329.617354,0.085,3.776341,0.0992,2.69566850458576E+18,26.0688,0.1032,252.6418,-246.072,0.154,-125.404,0.173,99,762.8,6,0,36017000,8168.5,6.7971,2E-04,19495000,52767.0,7.1266,0.0029,22963000,71201.0,6.3593,0.0034,0.7672,30.26,1.83,6009.5,0.3247,0.1622,1.33,2.07,329.618416,3.776881
Gaia DR2 2704678521338819840,340.961976,0.0588,3.888279,0.0383,2.70467852133882E+18,22.9686,0.0657,349.8565,150.439,0.082,333.786,0.071,133,352.91,8,0,23255000,16539.0,7.2721,8E-04,13050000,27379.0,7.5624,0.0023,14921000,29327.0,6.8274,0.0021,0.7349,-33.79,0.15,6136.25,0.0787,0.0555,1.16,1.714,340.961326,3.886842
Gaia DR2 4433711099194059904,247.616697,0.0315,4.172225,0.0246,4.43371109919406E+18,23.3815,0.0433,539.4406,-435.577,0.059,-1393.258,0.045,262,489.98,13,0,26773000,5150.3,7.1191,2E-04,14701000,14493.0,7.433,0.0011,17026000,16676.0,6.6841,0.0011,0.7489,-47.57,0.22,5944.0,0.2165,0.1297,1.31,1.917,247.618578,4.178223
Gaia DR2 4290328769993455744,296.489245,0.042,4.248399,0.0304,4.29032876999346E+18,34.2663,0.0515,664.8707,75.873,0.078,-11.556,0.065,264,742.2,12,1,34068000,19735.0,6.8575,6E-04,18340000,43957.0,7.1929,0.0026,22030000,75882.0,6.4044,0.0037,0.7885,-6.67,0.18,5910.5,0.0887,0.0525,1.02,1.138,296.488918,4.248449
Gaia DR2 4281201414717499520,284.154875,0.0467,4.264764,0.0433,4.2812014147175E+18,37.5643,0.0532,706.7423,-2.236,0.085,-84.711,0.072,124,203.79,9,0,44700000,21548.0,6.5626,5E-04,24468000,50672.0,6.8799,0.0022,28131000,59265.0,6.1389,0.0023,0.741,10.13,0.21,6039.0,0.032,0.0167,1.02,1.236,284.154884,4.265129
Gaia DR2 4391793627134797952,257.843859,0.037,4.690276,0.0269,4.3917936271348E+18,23.1805,0.0458,506.0378,-57.605,0.075,0.454,0.055,462,998.33,12,1,41489000,6428.2,6.6435,2E-04,23167000,21764.0,6.9392,0.001,25664000,23210.0,6.2386,0.001,0.7006,-33.45,0.15,6164.5,0.3845,0.171,1.52,3.001,257.844107,4.690274
