d_arcsec,_RAJ2000,_DEJ2000,Star,Teff,e_Teff,logg,e_logg,__Fe_H_,e__Fe_H_,Mass,logL,e_logL,VMAG,Pl_,SimbadName,_RA,_DE,_RAJ2000_2,_DEJ2000_2,recno,catID,vsini,w_vsini,o_vsini,n_vsini,Simbad,_RA_2,_DE_2,starname,err_rv_scaled
0.006161,1.5798981,-49.0751911,HD 142,6403,65,4.619999885559082,0.07000000029802322,0.09000000357627869,0.05000000074505806,1.2910000085830688,2.680999994277954,0.014000000432133675,3.6600000858306885,yes,HD 142,1.5799,-49.07519,1.5798978,-49.0751894,117,HD 142,9.899999618530273,3.0,1,,Simbad,1.5799,-49.07519,HD142,1.3840721021259177
0.0087,2.0681781,-14.8244919,HD 361,5913,15,4.599999904632568,0.019999999552965164,-0.11999999731779099,0.009999999776482582,1.0420000553131104,0.9549999833106995,0.024000000208616257,4.829999923706055,no,HD 361,2.06818,-14.82449,2.0681756,-14.8244919,147,HD 361,2.700000047683716,3.0,1,,Simbad,2.06818,-14.82449,HD361,0.7860645560298488
0.003263,2.8991419,-57.4725492,HD 750,5060,33,4.389999866485596,0.07000000029802322,-0.28999999165534973,0.019999999552965164,0.6859999895095825,0.3230000138282776,0.03400000184774399,6.230000019073486,no,HD 750,2.89914,-57.47255,2.8991417,-57.4725483,219,HD 750,3.5999999046325684,3.0,1,,Simbad,2.89914,-57.47255,HD750,0.5628449780541909
0.013811,3.2093764,-57.9126094,HD 870,5381,26,4.420000076293945,0.05000000074505806,-0.10000000149011612,0.019999999552965164,0.8600000143051147,0.4860000014305115,0.014000000432133675,5.679999828338623,no,HD 870,3.20938,-57.91261,3.2093692,-57.9126097,240,HD 870,1.7999999523162842,3.0,1,,Simbad,3.20937,-57.91261,HD870,0.6371381712057317
0.021922,3.5186642,-11.3115872,HD 967,5564,16,4.510000228881836,0.029999999329447746,-0.6800000071525574,0.009999999776482582,0.6669999957084656,0.7020000219345093,0.04399999976158142,5.230000019073486,no,HD 967,3.51866,-11.31159,3.5186583,-11.3115853,258,HD 967,1.7999999523162842,3.0,1,,Simbad,3.51866,-11.31159,HD967,0.7053256848200818
0.011225,4.0528231,-79.8511817,HD 1237,5514,36,4.5,0.07000000029802322,0.07000000029802322,0.029999999329447746,0.9390000104904175,0.6309999823570251,0.00800000037997961,5.360000133514404,yes,HD 1237,4.05282,-79.85118,4.052825,-79.8511786,287,HD 1237,3.5999999046325684,9.0,3,:,Simbad,4.05282,-79.85118,HD1237,0.692637220946366
0.009408,4.3188669,-43.8527336,HD 1320,5679,14,4.489999771118164,0.019999999552965164,-0.27000001072883606,0.009999999776482582,0.8709999918937683,0.7459999918937683,0.027000000700354576,5.139999866485596,no,HD 1320,4.31887,-43.85273,4.3188633,-43.8527333,302,HD 1320,2.700000047683716,3.0,1,,Simbad,4.31886,-43.85273,HD1320,0.6689634348997406
0.008936,4.4952956,-13.4556403,HD 1388,5954,10,4.409999847412109,0.019999999552965164,-0.009999999776482582,0.009999999776482582,1.0440000295639038,1.3849999904632568,0.01899999938905239,4.420000076293945,no,HD 1388,4.4953,-13.45564,4.4952931,-13.4556408,315,HD 1388,3.5999999046325684,3.0,1,,Simbad,4.49529,-13.45564,HD1388,0.8592056836537143
0.007689,4.6744489,-8.0530014,HD 1461,5765,18,4.380000114440918,0.029999999329447746,0.1899999976158142,0.009999999776482582,1.0180000066757202,1.187999963760376,0.017000000923871994,4.619999885559082,no,HD 1461,4.67445,-8.053,4.6744469,-8.0530006,328,HD 1461,1.7999999523162842,3.0,1,,Simbad,4.67445,-8.053,HD1461,0.6079349949434474
0.009105,5.0177506,-64.8747906,HD 1581,5977,12,4.510000228881836,0.029999999329447746,-0.18000000715255737,0.009999999776482582,0.9950000047683716,1.218000054359436,0.004999999888241291,4.559999942779541,no,HD 1581,5.01775,-64.87479,5.0177497,-64.8747931,349,HD 1581,4.900000095367432,3.5,2,UF,Simbad,5.01775,-64.87479,HD1581,0.9235079579069114
0.015226,6.1080594,-27.0267722,HD 2025,4939,53,4.579999923706055,0.10000000149011612,-0.3499999940395355,0.029999999329447746,0.7120000123977661,0.23000000417232513,0.017000000923871994,6.639999866485596,no,HD 2025,6.10806,-27.02677,6.1080547,-27.0267728,418,HD 2025,1.7999999523162842,3.0,1,,Simbad,6.10805,-27.02677,HD2025,0.5949409116870232
