Name	RA	DEC	PMRA	PMDEC	Gmag
	deg	deg	mas/yr	mas/yr
----	--	---	-----	------	-----
Positions are in epoch 2015.5!
-------------------------------------------------------------
THIS IS THE CONTROL SAMPLE
-----------------------------------------------------------
HD10476	25.62263032	20.26561262	-301.592	-674.505	4.9697
HD101501	175.2625026	34.1999925	-12.247	-381.257	5.0824
HD82885	143.9107352	35.80901718	-726.201	-259.506	5.1628
HD86728	150.250054	31.92182159	-528.807	-429.627	5.1759
HD157214	260.1655574	32.463262	135.731	-1040.913	5.1797
HD55575	108.9591041	47.23916292	30.07	-186.405	5.3678
HD10780	26.94249331	63.851442	582.028	-246.228	5.3827
HD219623	349.1770734	53.21245641	112.891	-236.852	5.4294
HD4628	12.09900167	5.275698037	755.561	-1141.745	5.4415
HD72905	129.7984911	65.02128479	-27.158	87.546	5.4796
-----------------------------------------------------------
THIS IS THE REAL SAMPLE - ORDERED IN G MAG
-----------------------------------------------------------
HD119124	205.0959501	50.51966777	-125.728	58.567	6.1794
HD32715	77.43526652	64.91870452	-17.063	-182.373	6.2495
HD97855A	169.0179633	52.77340985	161.858	57.358	6.3748
HD60912	114.8395017	50.52827104	-78.808	-61.627	6.7803
HD123033	211.1914755	25.81727021	7.292	-110.307	6.8262
HD112196	193.6669749	22.10779458	52.346	-32.09	6.8567
HD96105	166.4418457	50.17237214	-72.137	-20.863	6.9096
HD44966	96.20892015	4.871833329	-37.703	-37.723	6.9098
HD42417	93.90103647	66.14851622	19.838	4.672	6.9188
HD154181	254.0795854	74.28225557	53.183	-85.651	6.9574
HD83451	144.8665225	35.24309296	-67.9	3.071	6.98
HD95638	165.8400041	61.65397615	-117.263	-67.156	6.9985
HD59331	112.6646747	27.90855557	-46.184	-42.283	6.9986
HD136160A	229.6743061	10.42768549	-72.696	-16.753	7.0047
HD26710	63.63394153	26.25541074	-40.391	-116.976	7.0213
HD27731	65.87710776	24.40522468	92.975	-42.841	7.0501
HD90343	158.7978272	84.39952776	19.737	47.826	7.0673
HD130460	221.3181011	65.33013627	-111.337	36.232	7.0922
HD98423	169.9226076	38.10058024	-57.968	-68.728	7.1014
HD99739	172.1037802	2.782669597	-119.055	-69.31	7.1109
HD84004	145.7292982	32.26465643	-11.955	-23.468	7.1506
HD74361	131.2956985	43.64896835	-19.355	-43.403	7.1513
HD25444A	61.03038773	39.50930539	147.261	-96.201	7.1595
HD96272	166.5389473	7.139967317	-54.716	49.67	7.1683
HD89906A	155.6813226	15.34401751	-267.305	-90.061	7.1726
HD84388	146.5226581	39.83816539	-0.628	28.8	7.1772
HD63648	117.6313286	14.84148156	-65.075	-24.477	7.1866
HD59432A	112.6090771	13.86487352	-43.916	-20.047	7.1927
HD115981	200.1066103	17.58082071	-109.922	47.56	7.1936
HD108944	187.7531098	31.42395476	8.096	27.894	7.1963
HD134228	227.085505	10.11379597	-57.63	-20.825	7.224
HD88959	154.159031	41.2757787	22.269	-17.623	7.2307
HD60406	114.5200427	61.53345559	26.928	22.298	7.2424
HD42508	93.49617848	52.01098362	13.279	-89.361	7.2519
HD134495	227.3729835	24.67615985	20.596	31.127	7.2811
HD71986	132.7215529	85.05065142	-112.151	-81.649	7.2915
HD97584	168.7934896	73.47568894	-403.471	112.325	7.2977
HD82602	144.2871696	72.07992082	-126.856	-96.929	7.311
HD131023	222.758699	9.723912176	-216.298	56.482	7.3234
HD129079	219.6557859	54.85319062	-56.165	-7.753	7.3249
HD121458	208.6628037	37.06434829	73.671	-145.761	7.3271
HD28772	68.56936567	45.91324861	39.079	-54.467	7.3329
HD115386	199.2159046	1.240213895	-25.853	-3.505	7.3351
HD129501	220.5957587	21.29293396	-108.389	-35.215	7.3352
HD151428A	251.4509116	35.63088323	37.274	27.83	7.3494
HD133725	226.181249	38.6053753	-15.53	34.152	7.3634
HD100214A	173.0828721	56.09572393	-241.03	82.81	7.3647
HD30486	72.02432449	0.675734859	-33.534	-11.146	7.3722
HD110524	190.6624937	28.35950961	-23.686	-54.429	7.3794
HD148004	244.8875243	70.36868885	64.615	27.247	7.3875
HD85091	147.4507851	11.1061238	-304.102	-70.365	7.4092
HD75353A	132.683467	35.07146412	-174.649	114.396	7.4103
HD41804	95.10161676	80.35593079	-10.336	-100.637	7.4176
HD268518	106.0204249	20.59770609	-82.092	41.288	7.4179
HD140138	235.0735855	44.83103041	-21.567	5.105	7.4268
HD129674	220.5030185	52.00533648	10.215	4.218	7.437
HD107086	184.6702333	26.19058933	-46.92	53.142	7.4408
