HDname	HIPname	starname	RA	DEC	Gmag	BP-RP
------	-------	--------	--	---	----	-----
HD203454	HIP105406	N/A	320.2558458	40.34405499	6.2259	0.7516
HD13201	HIP10050	N/A	32.3469288	17.223405	6.2774	0.62
HD223552	HIP117551	N/A	357.5934782	51.62158014	6.3656	0.5383
HD191570	HIP99352	N/A	302.4862985	20.91544918	6.4014	0.5373
HD206963	HIP107339	N/A	326.1058186	46.86293595	6.4949	0.5559
HD199941	HIP103635	N/A	314.9620989	16.82430009	6.5158	0.5262
HD203015	HIP105254	N/A	319.7966762	17.82196232	6.594	0.5151
HD197037	HIP101948	**GNS11A	309.8869681	42.24759299	6.6711	0.6814
HD11907	HIP9151	N/A	29.48186536	40.76023095	6.7397	0.6441
HD22399	HIP17118	**STTA36A	54.99633369	63.86979352	6.7502	0.6287
HD6093	HIP4868	**HO493A	15.64880086	27.74799346	6.7658	0.611
HD4132	HIP3509	N/A	11.2028292	67.1579326	6.7715	0.636
HD208502	HIP108174	**SKF2398A	328.7500148	53.93598062	6.7996	0.6356
HD177459	HIP93645	N/A	286.041253	17.55642675	6.8031	0.6436
HD8686	HIP6679	N/A	21.41958669	2.972000393	6.8664	0.5805
HD211152	HIP109842	N/A	333.7003751	24.31503572	6.8741	0.627
HD24747	HIP18518	N/A	59.39683191	36.4908429	6.8784	0.5593
HD5750	N/A	N/A	14.90102349	32.49193783	6.8818	0.654
HD14082A	HIP10680	N/A	34.35578895	28.74472097	6.8877	0.681
HD218866	N/A	N/A	347.6031795	64.52965487	6.8904	0.7032
HD3914	HIP3293	N/A	10.50588652	40.68799586	6.8986	0.6223
HD170542	HIP90618	N/A	277.3647365	13.85466717	6.8996	0.5716
HD224792	HIP58	N/A	0.173085648	62.17571241	6.9064	0.686
HD16626	HIP12656	N/A	40.64927611	61.59325507	6.9179	0.5501
HD198389	HIP102807	N/A	312.4130983	13.96325898	6.9956	0.6107
HD192679A	N/A	**STF2658A	303.4200565	53.12581614	7.017	0.6362
HD171886	HIP91120	N/A	278.8103979	41.58191296	7.0267	0.6304
HD8321	HIP6439	N/A	20.679361	17.19713907	7.0389	0.6208
HD223582	HIP117573	N/A	357.6582163	54.198033	7.0501	0.5937
HD221318	HIP116069	N/A	352.7779862	2.363150172	7.0537	0.5846
HD217924	HIP113884	N/A	345.9606463	21.59794248	7.0549	0.8003
HD8995	HIP6943	N/A	22.36102147	42.28164566	7.0623	0.6129
HD12413	HIP9492	N/A	30.52992522	22.10387576	7.0819	0.6286
HD1352	HIP1427	**TOK646A	4.45924819	16.33089371	7.084	0.6362
HD171485	HIP90954	N/A	278.3105589	40.15984643	7.0922	0.7194
HD189509	HIP98442	N/A	300.034239	7.760635122	7.1104	0.646
HD6566	HIP5207	N/A	16.65240607	13.88443994	7.1131	0.5661
HD219459	HIP114769	N/A	348.7276475	65.42368565	7.1144	0.5818
HD172742	HIP91563	N/A	280.0877272	33.68423345	7.1532	0.6261
HD11973B	N/A	**H12B	29.49005917	23.6030257	7.173	0.7299
HD225028A	N/A	**BU281A	0.696829883	2.129750841	7.1954	0.8305
HD199766C	HIP103571	N/A	314.7707848	4.294011607	7.2015	0.6272
HD220821	HIP115715	**YR17	351.6708497	45.33860228	7.2017	0.8416
HD13151	HIP10079	**ES48A	32.41063696	42.85764243	7.2111	0.636
HD202926	HIP105192	N/A	319.633136	17.98778854	7.2238	0.5887
HD22992	HIP17305	N/A	55.56641985	22.78611675	7.2785	0.5926
HD213391	HIP111081	N/A	337.5534132	40.96533979	7.2875	0.6138
HD155967	HIP84323	N/A	258.5835751	14.55259454	7.3033	0.613
HD178593	HIP93995	N/A	287.0687821	25.37440624	7.3304	0.7002
HD199194	HIP103271	N/A	313.8235468	9.721339667	7.3419	0.5797
HD208362	HIP108147	N/A	328.6532001	47.15553042	7.3637	0.5071
HD3454	HIP2981	N/A	9.48816407	47.40735857	7.3915	0.6687
HD156536	HIP84548	N/A	259.2573758	26.71556526	7.3969	0.5702
HD11926	HIP9172	N/A	29.51885216	41.38615306	7.411	0.8391
HD196726	HIP101895	N/A	309.7354034	8.522839845	7.4124	0.597
HD216582	HIP112946	**STT4238B	343.1266499	67.99386297	7.4169	0.6089
HD215778	HIP112521	N/A	341.8747218	5.887709736	7.4221	0.6415
HD198894	N/A	N/A	311.2627467	79.23852374	7.4293	0.8976
HD1764	HIP1736	N/A	5.489206065	16.87668128	7.4441	0.6565
HD215619	HIP112402	N/A	341.5086852	35.67234102	7.4448	0.6016
HD224414	HIP118117	N/A	359.3948345	73.86577877	7.4551	0.6573
HD221914	HIP116478	N/A	354.0280931	18.44357149	7.4552	0.8729
HD215760	HIP112475	N/A	341.7320357	39.41739525	7.4582	0.6327
HD195016	N/A	N/A	306.8479265	39.73040688	7.461	0.7223
HD3790	HIP3214	**TOK378A	10.22044391	31.11676934	7.4817	0.5955
HD156282	N/A	N/A	258.6837291	42.20323991	7.4871	0.7322
HD162691	HIP87435	N/A	268.0036054	6.729796685	7.4879	0.5708
HD164983	HIP88062	**STF2273B	269.7941251	64.14399491	7.4902	0.5962
HD21376	N/A	N/A	52.21416454	47.83029088	7.4912	0.6446
HD221498	HIP116186	N/A	353.1192725	33.74096582	7.4963	0.5525
HD172961	HIP91766	N/A	280.6909634	5.687171261	7.5021	0.5969
HD224919	N/A	N/A	0.457355672	65.45579737	7.522	0.6417
HD223718A	N/A	**STF3042A	357.9679218	37.89091087	7.5295	0.5809
HD203611	HIP105530	N/A	320.6032399	37.16476367	7.5343	0.5403
HD160198	HIP85906	N/A	263.3252254	67.20393876	7.538	0.5779
HD14192	HIP10727	**AG35AB	34.51543178	14.46671683	7.5639	0.5393
HD168774	HIP89756	N/A	274.7484268	48.57117518	7.5687	0.6677
HD12424A	N/A	**HU806A	30.79122471	48.62018618	7.5738	0.7688
HD157393	HIP85000	N/A	260.6037757	15.13699265	7.5985	0.6562
HD200931	HIP104164	N/A	316.5743986	7.50697652	7.6025	0.6331
HD222502	N/A	N/A	355.2981351	6.262737515	7.6111	0.7401
HD218805	HIP114432	**BVD142A	347.6214693	41.32153087	7.6163	0.6301
HD3067A	N/A	**BU108A	8.640021087	62.90299504	7.6191	0.6527
HD206675	N/A	N/A	325.8934238	9.172079994	7.6233	0.8388
HD195528	HIP101142	N/A	307.5295973	45.44918822	7.6416	0.6551
HD207966	HIP107920	**HO172A	327.9695412	42.34255627	7.6426	0.9342
HD208536	N/A	N/A	329.0363452	34.55030229	7.6501	0.9481
HD170850	HIP90527	N/A	277.0804051	55.67411116	7.6701	0.5145
HD196672	HIP101757	N/A	309.3555372	41.39322643	7.6769	0.6066
HD189796	N/A	**BU439A	300.1927645	29.82158619	7.6943	0.7833
HD20799	N/A	N/A	50.78189189	48.63446421	7.6976	0.6963
HD209102	N/A	N/A	329.7408616	60.08393873	7.7004	0.7268
HD20111	HIP15620	N/A	50.28398833	77.06735338	7.7026	0.57
HD154578	HIP83517	N/A	256.0220331	46.08892484	7.7083	0.6461
HD215439	HIP112114	N/A	340.6520822	74.3310493	7.7219	0.6022
HD224459	N/A	N/A	359.5158412	24.34016072	7.7237	0.7686
HD203235A	N/A	**BU838A	320.2330127	3.11826741	7.728	0.6832
HD238865	N/A	**STF2323C	275.9931827	58.82426095	7.7409	0.6775
HD11801	N/A	N/A	29.21591911	44.2070043	7.7415	0.7493
HD108807	HIP60976	N/A	187.4811231	24.33837125	7.7503	0.6118
HD213763	HIP111374	N/A	338.4481363	1.859857782	7.7516	0.5607
HD86313	N/A	**COU286	149.5143657	20.98236344	7.7556	0.6312
HD27291	HIP20332	N/A	65.3394221	53.70070445	7.7606	0.526
HD135181	HIP74422	N/A	228.1433088	35.97156224	7.761	0.5379
HD28139A	N/A	**STF546A	66.75301244	19.11708544	7.7612	0.6842
HD49801	HIP33563	N/A	104.6116191	75.19825398	7.7613	0.6094
HD10366	N/A	N/A	25.3491357	6.045625183	7.7614	0.9014
HD118742A	N/A	**STF1769A	204.50689	39.17745033	7.7625	0.8324
HD11319	N/A	N/A	27.91781579	17.79681579	7.7654	0.665
HD12805	HIP9782	**AG30AB	31.44671048	13.34286737	7.7655	0.5801
HD155356	HIP83822	N/A	256.9624323	56.1713728	7.7662	0.613
HD170579	HIP90657	N/A	277.4693379	9.198063053	7.7664	0.6161
HD69713	HIP40844	N/A	125.0156294	44.66365249	7.7666	0.6448
HD37030	HIP26556	N/A	84.70205334	55.74806024	7.7696	0.6329
